text_reference,X,Y,labels,value
fly zone,9.374152,-3.4132721,-1,0.0008048077149067167
many people,12.175531,-1.0359411,18,0.0008019768146177201
humanitarian crisis,8.447793,-0.792469,-1,0.0007992141565081573
big lie,7.7265115,-2.9576278,12,0.0007989845139895949
terrorists,9.726645,1.0169673,22,0.0007982361966177923
tens,10.339577,0.44366178,10,0.0007974598255801384
military targets,9.198456,0.57460976,21,0.0007967317338877817
citizens,10.508702,1.3535705,19,0.0007960075807923775
threat,8.559359,-0.5338671,-1,0.0007940658083697591
government,9.281542,-0.75944585,40,0.0007933375180774836
determined effort,10.131721,-2.3784797,61,0.000788573137740758
certain areas,11.478121,-1.4682245,36,0.00078754893623846
san bernardino,11.423406,-7.0481825,-1,0.0007858494124832212
wind,8.914985,-4.527547,48,0.0007849678501651203
fighters,9.753313,1.0026935,22,0.0007844908663530576
biggest problem,9.184435,-2.4814904,-1,0.0007842389307961044
last one,6.231512,-4.4444375,5,0.0007823472028377338
solar,8.991992,-4.2848816,-1,0.000777932901714198
public service,9.398162,-1.1054269,40,0.0007775441559273756
price,7.555438,-1.16288,39,0.0007774495834501099
special prosecutor,11.184064,-7.6379943,14,0.0007733178962720917
big goals,7.7844515,-3.0098217,12,0.0007717297255035817
powerful,12.595512,-2.6989799,-1,0.0007713798381787299
leverage,9.99194,-3.869499,50,0.0007711448792372006
total disaster,8.20093,-2.5824409,-1,0.0007702377176980171
increase,7.9837728,-1.5884926,-1,0.0007686618967993476
appropriate,11.005916,-2.791345,-1,0.0007672848931472864
duty,9.954628,-1.5267348,68,0.0007666000231615211
grant,12.055448,-7.5294976,24,0.0007663994959860306
days,6.711755,-4.9319773,1,0.0007658400302142242
great balance sheet,7.091669,-2.3627367,9,0.0007633054970714134
little area,9.519132,-3.5086827,50,0.0007612054480735257
okay,11.710246,-5.071352,51,0.0007605057663557458
parents,13.417689,-4.9374824,-1,0.0007590812453169444
energy policy,8.485791,-3.7658083,44,0.0007563727321853665
oil,8.68473,-3.9774148,45,0.0007556500817013451
reasons,11.30242,-2.8412526,-1,0.000750887232496581
square,9.512717,-3.7472696,50,0.0007502503251015085
negotiating table,9.685534,-4.974646,49,0.0007490158651807723
extreme vetting,10.167177,-3.8338232,50,0.0007484876220392083
murderers,11.335986,-5.073746,51,0.0007466378603273973
gift,12.987579,-4.9069777,-1,0.0007461091469252576
cost,7.531936,-1.1329315,39,0.0007458921931901759
late,6.2009587,-4.384241,5,0.0007454489263330719
dangerous,12.580462,-2.637833,28,0.0007451244010339306
classified material,10.136518,-3.4384787,54,0.0007437458857587989
additional help,10.996282,-3.0229366,-1,0.0007423409223474952
charge,8.883369,-1.5041859,66,0.0007421443073017004
favor,9.822471,-2.0820928,61,0.0007417188689091494
biggest tax cuts,8.270095,-1.9092889,-1,0.0007386191856952167
safe zones,9.456451,-3.3997486,50,0.0007377261723601579
presidential debates,9.563018,-7.7778263,7,0.0007371049193585595
natural gas,8.608207,-3.8097188,44,0.0007359356466079707
wade,11.919726,-7.101212,-1,0.0007348450889924546
fraud,9.442379,-0.67510176,40,0.0007347527470244263
employer,9.340147,-1.9430909,63,0.0007342657465737207
answers,11.27992,-3.4058046,55,0.0007339010717795391
fbi,9.453826,-0.7608947,40,0.0007336679717498891
positive behavior,10.436939,-2.322642,-1,0.0007331794573482983
ambassador stevens,12.062337,-7.5271583,24,0.0007324300439742463
youth,13.188857,-5.034886,32,0.0007304313984700117
speeches,10.66901,-4.0662107,-1,0.0007302913213445892
members,9.795444,-7.749372,7,0.0007302290266023524
loans,8.68585,-1.827561,65,0.000729417811708848
bad leaders,10.90019,-0.99645555,-1,0.000729211093341953
strong country,7.284406,-1.8146945,11,0.0007274403994836495
big benefits,7.825598,-3.050611,12,0.0007264918359647614
roe,11.970867,-6.979048,25,0.0007250796632374246
action,10.075151,-2.2816253,61,0.0007239131019301159
better life,9.722395,-2.9384425,-1,0.0007218034784898202
abusive,11.142246,-4.2671146,52,0.00072077252655891
policies,9.073076,-0.8798716,40,0.0007193351281140788
intense interest,9.89323,-2.2244961,61,0.00071765008842358
religious freedom,10.827551,-1.7671375,-1,0.0007148323303131847
presidential leadership,9.527505,-7.8365574,7,0.0007146454321792645
lost times,6.927519,-4.238639,4,0.0007124141515820834
friend,13.185308,-5.0379972,32,0.0007113304408786467
effective,9.879645,-3.8864346,50,0.000710770517950355
worried,11.830309,-4.7363133,51,0.0007092906265980461
form,10.874848,-2.4248755,57,0.000706217167913927
wrong,5.6420383,-2.0184772,2,0.0007056681294854314
energy independent,8.506862,-3.775847,44,0.000705056187386456
risk,8.186687,-1.6650163,59,0.0007028107820624081
bus,8.984211,-4.587502,48,0.0007025554721021507
hard,12.18781,-2.6254647,38,0.0007018260595770777
careless,11.223424,-4.8024473,52,0.0007013809518158077
furious,11.814565,-4.7661924,51,0.000699527026532505
awake,11.869719,-4.6753836,51,0.0006974088670927233
series,9.428787,-5.282147,49,0.0006954481666188645
stupidity,11.1446085,-4.4517727,52,0.0006931777859526335
girl,13.003208,-5.3116856,33,0.0006922544026845181
lots,9.295956,-4.9977984,49,0.0006919790789446885
great recession,6.948605,-2.3307967,9,0.000691768533180745
contact,7.5129967,-2.4399176,13,0.0006895431423939929
numbers,8.457324,-2.9316895,34,0.000683766970407542
baghdadi,10.834839,-5.2168827,43,0.0006828432118625629
age,6.8740563,-4.3039618,4,0.0006819080406391015
boy,12.943013,-5.3354745,33,0.000679851609582896
rich,9.338185,-4.529578,48,0.0006798186453164246
hell,12.757621,-5.43426,33,0.0006775118814840821
information,10.602058,-3.438715,54,0.0006772679390228294
jail,11.210034,-5.537441,27,0.0006763439252392658
marriage equality,10.459916,-1.2268112,37,0.0006760931010215984
hispanics,10.704085,-5.204859,43,0.0006735640048941245
tired,12.08367,-4.5441756,51,0.0006725093413353403
russian,9.895822,1.0271504,22,0.0006723174987718113
surprised,12.146952,-4.452486,51,0.000671152676566985
ethiopia,8.539081,1.0824927,8,0.000668794492007373
choice,11.647173,-3.1329603,-1,0.0006687094235134751
young woman,13.244698,-5.072876,32,0.0006675391371121471
hatred,10.647916,-1.1861767,37,0.0006671279062123071
many bad things,12.682629,-1.443155,30,0.0006660074072555706
tax rate,7.6499934,-1.2627503,39,0.000665906874148561
senate,9.662272,-7.6805353,7,0.0006630149533100587
truth,12.313611,-2.1055627,29,0.0006629708683225443
devoted president,10.093949,-7.828487,6,0.0006616198577815685
different system,11.55789,-1.591028,36,0.0006606254717399888
nice compliment,11.876126,-5.0959754,51,0.000660586747921074
good thing,12.538506,-1.951507,30,0.0006583711004162762
kurds,10.060669,0.96709526,22,0.0006564740478492958
last presidential debate,6.304153,-4.453234,5,0.0006563614330415471
lower,9.671084,-3.357106,50,0.000654029615353638
judges,9.917065,-6.8669224,3,0.0006518086075359799
folks,11.646839,-5.0738063,51,0.0006517230752059344
weekly basis,10.597796,-3.5163577,54,0.0006511134935156909
different,11.572804,-1.5568062,36,0.0006506057748780732
difficult situation,11.750419,-2.4575467,-1,0.0006436866128706079
ways,12.728003,-1.5379535,30,0.0006425734587707133
vote,9.518283,-7.8833613,7,0.0006412977706384498
nice,11.89879,-5.102,51,0.0006408646805653063
wonderful girl scout,12.850484,-5.359009,33,0.0006393764219394913
plans,8.864936,-0.7936429,40,0.0006383707494404808
tremendous respect,7.638877,-2.2881804,13,0.0006380194964852273
responsibility,10.019162,-1.4227958,68,0.0006364488810513308
anything wrong,5.545612,-2.019914,2,0.0006364285435188233
strong border,7.2869368,-1.7419304,11,0.0006358498789130725
behalf,11.333893,-5.60144,27,0.0006353317136953622
deficit,8.077365,-1.6333596,59,0.000632083283522035
friday,12.492668,-5.317489,31,0.0006306489377742703
favors,11.176589,-4.230366,-1,0.0006281569935331301
debt,8.113436,-1.7062229,59,0.0006269883038406746
disastrous plan,8.82966,-0.74688965,40,0.0006245546460783779
corporate loopholes,9.518626,-1.5255538,64,0.0006221769001095079
pictures,9.229604,-5.108773,49,0.0006154155747492109
diane,12.27884,-7.265239,-1,0.0006108790992824049
homophobic,11.120141,-4.3518853,52,0.0006070167190147622
whatever,12.095182,-3.6517923,47,0.0006048393639891129
sidney blumenthal,12.073832,-7.0887036,25,0.0005999657332780991
terrorist state,9.442841,-0.63537556,40,0.0005981342203319289
nominee,12.129267,-6.8847046,25,0.0005959032675285883
wealth,7.6585064,-2.118661,13,0.0005954677696034527
gold standard,9.615969,-4.7128386,49,0.0005903933929797091
fortunate,11.726463,-4.7323513,51,0.0005863287731562863
racists,10.567614,-5.1785083,43,0.0005799910756624962
less,9.660908,-3.3334885,50,0.000577755894154116
national television,9.549661,-0.89662933,40,0.0005775629409220622
congratulations,10.548494,-4.970554,43,0.0005774111398606637
trade,8.387576,-1.2135166,62,0.0005767246184434063
xenophobic,11.173846,-4.905322,52,0.0005746760330603444
deals,10.413058,-3.3847873,54,0.0005745834569747555
las vegas,11.414378,-7.0304303,-1,0.0005650699676351414
embarrassed,11.872383,-4.82266,51,0.0005649968382526071
pieces,9.075457,-4.869377,49,0.0005641096844931424
enablers,10.419114,-5.0879273,43,0.0005584251565723501
national guard,9.543964,-0.8388108,40,0.0005580254133558255
